image_name,cluster,cluster_label
s1_tree_000.tif,4,cluster_4
s1_tree_001.tif,0,cluster_0
s1_tree_002.tif,2,cluster_2
s1_tree_003.tif,2,cluster_2
s1_tree_004.tif,1,cluster_1
s1_tree_005.tif,4,cluster_4
s1_tree_006.tif,2,cluster_2
s1_tree_007.tif,0,cluster_0
s1_tree_008.tif,2,cluster_2
s1_tree_009.tif,2,cluster_2
s1_tree_010.tif,4,cluster_4
s1_tree_011.tif,2,cluster_2
s1_tree_012.tif,1,cluster_1
s1_tree_013.tif,0,cluster_0
s1_tree_014.tif,0,cluster_0
s1_tree_015.tif,1,cluster_1
s1_tree_016.tif,1,cluster_1
s1_tree_017.tif,0,cluster_0
s1_tree_018.tif,1,cluster_1
s1_tree_019.tif,1,cluster_1
s1_tree_020.tif,2,cluster_2
s1_tree_021.tif,0,cluster_0
s1_tree_022.tif,2,cluster_2
s1_tree_023.tif,4,cluster_4
s1_tree_024.tif,1,cluster_1
s1_tree_025.tif,1,cluster_1
s1_tree_026.tif,4,cluster_4
s1_tree_027.tif,4,cluster_4
s1_tree_028.tif,4,cluster_4
s1_tree_029.tif,1,cluster_1
s1_tree_030.tif,3,cluster_3
s1_tree_031.tif,1,cluster_1
s1_tree_032.tif,0,cluster_0
s1_tree_033.tif,4,cluster_4
s1_tree_034.tif,3,cluster_3
s1_tree_035.tif,2,cluster_2
s1_tree_036.tif,3,cluster_3
s1_tree_037.tif,1,cluster_1
s1_tree_038.tif,2,cluster_2
s1_tree_039.tif,1,cluster_1
s1_tree_040.tif,0,cluster_0
s1_tree_041.tif,5,cluster_5
s1_tree_042.tif,3,cluster_3
s1_tree_043.tif,4,cluster_4
s1_tree_044.tif,0,cluster_0
s1_tree_045.tif,1,cluster_1
s1_tree_046.tif,2,cluster_2
s1_tree_047.tif,0,cluster_0
s1_tree_048.tif,2,cluster_2
s1_tree_049.tif,3,cluster_3
s1_tree_050.tif,2,cluster_2
s1_tree_051.tif,0,cluster_0
s1_tree_052.tif,1,cluster_1
s1_tree_053.tif,3,cluster_3
s1_tree_054.tif,0,cluster_0
s1_tree_055.tif,0,cluster_0
s1_tree_056.tif,0,cluster_0
s1_tree_057.tif,4,cluster_4
s1_tree_058.tif,0,cluster_0
s1_tree_059.tif,2,cluster_2
s1_tree_060.tif,2,cluster_2
s1_tree_061.tif,2,cluster_2
s1_tree_062.tif,2,cluster_2
s1_tree_063.tif,2,cluster_2
s1_tree_064.tif,2,cluster_2
s1_tree_065.tif,3,cluster_3
s1_tree_066.tif,2,cluster_2
s1_tree_067.tif,2,cluster_2
s1_tree_068.tif,2,cluster_2
s1_tree_069.tif,1,cluster_1
s1_tree_070.tif,2,cluster_2
s1_tree_071.tif,0,cluster_0
s1_tree_072.tif,0,cluster_0
s1_tree_073.tif,5,cluster_5
s1_tree_074.tif,2,cluster_2
s1_tree_075.tif,0,cluster_0
s1_tree_076.tif,0,cluster_0
s1_tree_077.tif,0,cluster_0
s1_tree_078.tif,3,cluster_3
s1_tree_079.tif,2,cluster_2
s1_tree_080.tif,2,cluster_2
s1_tree_081.tif,4,cluster_4
s1_tree_082.tif,0,cluster_0
s1_tree_083.tif,4,cluster_4
s1_tree_084.tif,0,cluster_0
s1_tree_085.tif,1,cluster_1
s1_tree_086.tif,0,cluster_0
s1_tree_087.tif,0,cluster_0
s1_tree_088.tif,0,cluster_0
s1_tree_089.tif,0,cluster_0
s1_tree_090.tif,2,cluster_2
s1_tree_091.tif,1,cluster_1
s1_tree_092.tif,1,cluster_1
s1_tree_093.tif,1,cluster_1
s1_tree_094.tif,1,cluster_1
s1_tree_095.tif,0,cluster_0
s1_tree_096.tif,0,cluster_0
s1_tree_097.tif,3,cluster_3
s1_tree_098.tif,0,cluster_0
