image_name,cluster,cluster_label
s1_tree_099.tif,3,cluster_3
s1_tree_100.tif,0,cluster_0
s1_tree_101.tif,2,cluster_2
s1_tree_102.tif,0,cluster_0
s1_tree_103.tif,0,cluster_0
s1_tree_104.tif,4,cluster_4
s1_tree_105.tif,2,cluster_2
s1_tree_106.tif,0,cluster_0
s1_tree_107.tif,3,cluster_3
s1_tree_108.tif,2,cluster_2
s1_tree_109.tif,4,cluster_4
s1_tree_110.tif,0,cluster_0
s1_tree_111.tif,4,cluster_4
s1_tree_112.tif,0,cluster_0
s1_tree_113.tif,0,cluster_0
s1_tree_114.tif,0,cluster_0
s1_tree_115.tif,5,cluster_5
s1_tree_116.tif,1,cluster_1
s1_tree_117.tif,3,cluster_3
s1_tree_118.tif,4,cluster_4
s1_tree_119.tif,3,cluster_3
s1_tree_120.tif,0,cluster_0
s1_tree_121.tif,0,cluster_0
s1_tree_122.tif,0,cluster_0
s1_tree_123.tif,4,cluster_4
s1_tree_124.tif,4,cluster_4
s1_tree_125.tif,2,cluster_2
s1_tree_126.tif,1,cluster_1
s1_tree_127.tif,2,cluster_2
s1_tree_128.tif,2,cluster_2
s1_tree_129.tif,0,cluster_0
s1_tree_130.tif,1,cluster_1
s1_tree_131.tif,4,cluster_4
s1_tree_132.tif,4,cluster_4
s1_tree_133.tif,2,cluster_2
s1_tree_134.tif,5,cluster_5
s1_tree_135.tif,4,cluster_4
s1_tree_136.tif,2,cluster_2
s1_tree_137.tif,0,cluster_0
s1_tree_138.tif,0,cluster_0
s1_tree_139.tif,2,cluster_2
s1_tree_140.tif,4,cluster_4
s1_tree_141.tif,3,cluster_3
s1_tree_142.tif,2,cluster_2
s1_tree_143.tif,1,cluster_1
s1_tree_144.tif,4,cluster_4
s1_tree_145.tif,2,cluster_2
s1_tree_146.tif,0,cluster_0
s1_tree_147.tif,0,cluster_0
s1_tree_148.tif,0,cluster_0
s1_tree_149.tif,0,cluster_0
s1_tree_150.tif,3,cluster_3
s1_tree_151.tif,1,cluster_1
s1_tree_152.tif,4,cluster_4
s1_tree_153.tif,3,cluster_3
s1_tree_154.tif,4,cluster_4
s1_tree_155.tif,2,cluster_2
s1_tree_156.tif,0,cluster_0
s1_tree_157.tif,4,cluster_4
s1_tree_158.tif,4,cluster_4
s1_tree_159.tif,3,cluster_3
s1_tree_160.tif,3,cluster_3
s1_tree_161.tif,4,cluster_4
s1_tree_162.tif,0,cluster_0
s1_tree_163.tif,4,cluster_4
s1_tree_164.tif,4,cluster_4
s1_tree_165.tif,1,cluster_1
s1_tree_166.tif,1,cluster_1
s1_tree_167.tif,4,cluster_4
s1_tree_168.tif,4,cluster_4
s1_tree_169.tif,1,cluster_1
s1_tree_170.tif,0,cluster_0
s1_tree_171.tif,3,cluster_3
s1_tree_172.tif,2,cluster_2
